date,channel,spend_usd,impressions,clicks
2026-01-01,Meta Ads,143.64,16953,564
2026-01-01,Google Ads,199.66,17219,325
2026-01-01,TikTok Ads,64.52,7397,222
2026-01-02,Meta Ads,227.02,18348,720
2026-01-02,Google Ads,258.11,22841,446
2026-01-02,TikTok Ads,95.85,8834,248
2026-01-03,Meta Ads,157.99,14479,438
2026-01-03,Google Ads,84.87,7781,187
2026-01-03,TikTok Ads,164.02,18272,365
2026-01-04,Meta Ads,178.56,18515,299
2026-01-04,Google Ads,201.89,17527,291
2026-01-04,TikTok Ads,287.22,34071,1199
2026-01-05,Meta Ads,126.15,10585,339
2026-01-05,Google Ads,160.04,13584,371
2026-01-05,TikTok Ads,58.6,6819,146
2026-01-06,Meta Ads,215.63,19939,558
2026-01-06,Google Ads,186.68,16314,640
2026-01-06,TikTok Ads,243.78,28664,1071
2026-01-07,Meta Ads,199.47,23313,401
2026-01-07,Google Ads,99.0,8098,187
2026-01-07,TikTok Ads,147.17,13370,477
2026-01-08,Meta Ads,139.19,12699,362
2026-01-08,Google Ads,85.23,9553,161
2026-01-08,TikTok Ads,296.72,32903,657
2026-01-09,Meta Ads,51.38,5786,189
2026-01-09,Google Ads,232.25,25745,433
2026-01-09,TikTok Ads,139.62,11816,432
2026-01-10,Meta Ads,205.82,19190,318
2026-01-10,Google Ads,127.75,11881,394
2026-01-10,TikTok Ads,209.39,24182,648
2026-01-11,Meta Ads,79.9,8671,294
2026-01-11,Google Ads,190.32,21094,576
2026-01-11,TikTok Ads,180.68,17544,274
2026-01-12,Meta Ads,76.97,6254,193
2026-01-12,Google Ads,128.59,12902,486
2026-01-12,TikTok Ads,112.32,10829,366
2026-01-13,Meta Ads,107.2,8906,198
2026-01-13,Google Ads,90.31,10582,372
2026-01-13,TikTok Ads,208.35,23930,839
2026-01-14,Meta Ads,96.64,11181,318
2026-01-14,Google Ads,251.86,29176,669
2026-01-14,TikTok Ads,77.51,6907,177
2026-01-15,Meta Ads,254.5,29122,441
2026-01-15,Google Ads,177.69,17181,353
2026-01-15,TikTok Ads,79.97,7477,288
2026-01-16,Meta Ads,130.8,13178,429
2026-01-16,Google Ads,140.91,16749,654
2026-01-16,TikTok Ads,112.95,11282,254
2026-01-17,Meta Ads,121.21,9875,298
2026-01-17,Google Ads,175.67,14415,316
2026-01-17,TikTok Ads,277.07,24820,462
2026-01-18,Meta Ads,172.36,20584,433
2026-01-18,Google Ads,218.03,24085,504
2026-01-18,TikTok Ads,232.05,21978,677
2026-01-19,Meta Ads,208.38,21136,364
2026-01-19,Google Ads,258.83,24027,472
2026-01-19,TikTok Ads,60.19,6238,199
2026-01-20,Meta Ads,54.15,5440,112
2026-01-20,Google Ads,211.29,18377,593
2026-01-20,TikTok Ads,146.68,17230,317
2026-01-21,Meta Ads,135.27,11435,435
2026-01-21,Google Ads,269.33,24325,766
2026-01-21,TikTok Ads,254.31,25992,734
2026-01-22,Meta Ads,110.46,9248,346
2026-01-22,Google Ads,275.1,28975,680
2026-01-22,TikTok Ads,137.3,14971,560
2026-01-23,Meta Ads,271.77,30219,938
2026-01-23,Google Ads,71.03,6142,230
2026-01-23,TikTok Ads,201.61,16202,284
2026-01-24,Meta Ads,215.88,17313,329
2026-01-24,Google Ads,187.18,20155,630
2026-01-24,TikTok Ads,106.07,11506,240
2026-01-25,Meta Ads,131.35,14430,450
2026-01-25,Google Ads,262.31,27884,814
2026-01-25,TikTok Ads,73.42,6953,150
