order_id,user_id,order_date,channel,order_value_usd
ORD-10000,USR-1661,2026-01-30,Meta Ads,74.04
ORD-10001,USR-1286,2026-02-05,Direct,94.26
ORD-10002,USR-1445,2026-02-24,Google Ads,59.38
ORD-10003,USR-1656,2026-02-24,TikTok Ads,46.59
ORD-10004,USR-1236,2026-05-16,TikTok Ads,27.58
ORD-10005,USR-2271,2026-04-25,Meta Ads,71.7
ORD-10006,USR-2107,2026-05-01,TikTok Ads,80.48
ORD-10007,USR-1783,2026-02-01,Meta Ads,68.22
ORD-10008,USR-1113,2026-05-22,Meta Ads,50.88
ORD-10009,USR-1760,2026-04-15,Meta Ads,73.15
ORD-10010,USR-2430,2026-03-16,Organic Search,113.95
ORD-10011,USR-1405,2026-02-24,Meta Ads,67.18
ORD-10012,USR-1243,2026-03-27,Google Ads,36.89
ORD-10013,USR-1593,2026-02-18,Meta Ads,80.93
ORD-10014,USR-2485,2026-06-07,Organic Search,99.62
ORD-10015,USR-1072,2026-03-21,Meta Ads,48.87
ORD-10016,USR-1129,2026-06-12,Meta Ads,38.48
ORD-10017,USR-1265,2026-01-20,Google Ads,101.36
ORD-10018,USR-2312,2026-01-25,Google Ads,111.89
ORD-10019,USR-1335,2026-01-14,Meta Ads,95.31
ORD-10020,USR-1482,2026-05-05,Meta Ads,56.86
ORD-10021,USR-1481,2026-01-25,TikTok Ads,22.16
ORD-10022,USR-2196,2026-01-25,Meta Ads,72.7
ORD-10023,USR-1091,2026-02-01,Meta Ads,47.74
ORD-10024,USR-1988,2026-03-19,Organic Search,26.09
ORD-10025,USR-1042,2026-05-14,Meta Ads,80.06
ORD-10026,USR-1286,2026-03-01,Google Ads,21.44
ORD-10027,USR-1641,2026-06-11,Google Ads,65.88
ORD-10028,USR-2079,2026-06-27,Meta Ads,46.22
ORD-10029,USR-1148,2026-03-24,Meta Ads,27.75
ORD-10030,USR-1399,2026-04-25,Meta Ads,21.54
ORD-10031,USR-1784,2026-01-04,TikTok Ads,39.43
ORD-10032,USR-1819,2026-05-04,Meta Ads,83.85
ORD-10033,USR-2086,2026-06-15,Google Ads,98.17
ORD-10034,USR-1482,2026-03-03,TikTok Ads,53.61
ORD-10035,USR-1454,2026-04-02,Google Ads,92.03
ORD-10036,USR-2206,2026-03-27,Direct,58.7
ORD-10037,USR-1660,2026-05-29,Meta Ads,94.83
ORD-10038,USR-1900,2026-02-27,Meta Ads,37.6
ORD-10039,USR-1671,2026-03-23,Meta Ads,66.22
ORD-10040,USR-1307,2026-05-19,Google Ads,42.93
